Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,RecyclerViewConcatenateAdapter.AdapterDataObserver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mergeAdapter; adapter
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,RecyclerViewConcatenateAdapter.AdapterDataObserver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,RecyclerViewConcatenateAdapter.ChildAdapter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: adapter; globalViewTypesMap; localViewTypesMap; adapterDataObserver; localItemIdMap
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,RecyclerViewConcatenateAdapter.ChildAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,RecyclerViewConcatenateAdapter.ChildAdapter,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: adapter; globalViewTypesMap; localViewTypesMap; adapterDataObserver; localItemIdMap
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,RecyclerViewConcatenateAdapter.ChildAdapterPositionPair,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: childAdapter; localPosition
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,RecyclerViewConcatenateAdapter.ChildAdapterPositionPair,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,SectionedRecyclerViewAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,SectionedRecyclerViewAdapter.Section,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: offset
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,SectionedRecyclerViewAdapter.Section,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,SectionedRecyclerViewAdapter.NoSectionException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.adapter,SectionedRecyclerViewAdapter.NoSectionException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,SimpleTask,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MultiDeviceContactUpdateJob; RecipientId; RecipientIdCache; Recipient; GroupId; Util; ComposeText; InputPanel; QuoteView; LiveRecipient; RecipientDatabase; IdentityDatabase; SQLCipherOpenHelper; ClassicOpenHelper; LegacyMigrationJob; AttachmentDatabase; AttachmentId; DatabaseAttachment; PartAuthority; Attachment; DeprecatedPersistentBlobProvider; AttachmentSecretProvider; TextSecurePreferences; RegistrationLockReminders; DynamicTheme; BlobProvider; MediaUtil; BitmapUtil; MediaConstraints; DatabaseFactory; SmsDatabase; EarlyReceiptCache; OutgoingTextMessage; SmsMessageRecord; IncomingTextMessage; IncomingGroupUpdateMessage; ApplicationDependencies; IncomingMessageProcessor; PushDatabase; MmsSmsDatabase; MmsDatabase; OutgoingMediaMessage; QuoteModel; SlideDeck; Slide; AudioSlide; DocumentSlide; TextSlide; StickerSlide; NetworkFailure; IncomingMediaMessage; GroupUtil; GroupDatabase; ThreadDatabase; MessageRecord; Contact; StorageSyncHelper; ContactConflictMerger; GroupV1ConflictMerger; AccountConflictMerger; StorageSyncModels; SignalStore; KbsValues; KeyValueStore; KeyValueDatabase; RegistrationValues; PinValues; RemoteConfigValues; StorageServiceValues; GroupsV2AuthorizationSignalStoreCache; ContactUtil; PhoneNumberFormatter; RecipientUtil; FeatureFlags; DirectoryHelper; DirectoryHelperV1; IncomingJoinedMessage; ContactAccessor; RecipientsAdapter; NotificationChannels; SessionUtil; TextSecureSessionStore; MessageNotifier; FailedNotificationBuilder; PendingMessageNotificationBuilder; NotificationState; NotificationItem; ConversationActivity; AnimatingToggle; ViewUtil; DynamicLanguage; SendButton; ConversationTitleView; AvatarImageView; AvatarUtil; RecipientPreferenceActivity; ThreadPhotoRailView; ThumbnailView; SlideClickListener; TransferControlView; PartProgressEvent; MediaDatabase; MessagingDatabase; ReactionRecord; RecipientMediaLoader; ThreadMediaLoader; MediaPreviewActivity; MediaRailAdapter; MediaPreviewFragment; MediaOverviewActivity; MediaOverviewPageFragment; MediaGalleryAllAdapter; AudioView; AudioSlidePlayer; AttachmentDataSourceFactory; AttachmentDataSource; PartDataSource; BlobDataSource; GroupedThreadMediaLoader; SimpleTask; SaveAttachmentTask; AttachmentUtil; ConversationFragment; ConversationTypingView; UnknownSenderView; RecipientExporter; ConversationBannerView; MessageRequestViewModel; MessageRequestRepository; GroupManager; GroupManagerV2; GroupsV2StateProcessor; JobManager; WorkManagerMigrator; WorkManagerDatabase; WorkManagerFactoryMappings; AttachmentDownloadJob; AttachmentUploadJob; NotificationController; GenericForegroundService; ResumableUploadSpecJob; PointerAttachment; AvatarGroupsV1DownloadJob; AvatarHelper; CleanPreKeysJob; PreKeyUtil; CreateSignedPreKeyJob; IdentityKeyUtil; MasterSecretUtil; DirectoryRefreshJob; StorageSyncJob; StorageKeyDatabase; StorageSyncValidations; FcmRefreshJob; LocalBackupJob; BackupPassphrase; FullBackupExporter; SignedPreKeyDatabase; OneTimePreKeyDatabase; SessionDatabase; SearchDatabase; JobDatabase; GroupReceiptDatabase; StickerDatabase; StickerPackRecord; StickerRecord; MmsDownloadJob; KeyCachingService; ApplicationMigrations; VersionTracker; ApplicationContext; ExpiringMessageManager; ViewOnceMessageManager; ViewOnceUtil; MmsMessageRecord; Quote; TypingStatusRepository; TypingStatusSender; IncomingMessageObserver; SignalServiceNetworkAccess; PersistentLogger; LogSecretProvider; RefreshPreKeysJob; RegistrationUtil; AppInitialization; InsightsOptOut; StickerPackDownloadJob; StickerDownloadJob; RotateSignedPreKeyListener; DirectoryRefreshListener; LocalBackupListener; RotateSenderCertificateListener; UpdateApkRefreshListener; FcmJobService; MessageRetriever; PartParser; MmsReceiveJob; MmsSendJob; AttachmentCompressionJob; InMemoryTranscoder; MediaConverter; VideoTrackConverter; AudioTrackConverter; VideoUtil; MultiDeviceBlockedUpdateJob; UnidentifiedAccessUtil; ProfileKeyUtil; MultiDeviceConfigurationUpdateJob; MultiDeviceGroupUpdateJob; MultiDeviceProfileKeyUpdateJob; MultiDeviceReadUpdateJob; MultiDeviceVerifiedUpdateJob; PushDecryptMessageJob; PushProcessMessageJob; RemotePeer; IncomingEndSessionMessage; OutgoingEndSessionMessage; OutgoingExpirationUpdateMessage; LinkPreview; WebRtcCallService; IncomingPstnCallReceiver; WebRtcViewModel; WebRtcCallActivity; WebRtcCallView; WebRtcCallViewModel; WebRtcCallRepository; DoNotDisturbUtil; CallNotificationBuilder; SecurityEvent; GroupV1MessageProcessor; OutgoingGroupUpdateMessage; RemoteDeleteUtil; IdentityUtil; IncomingIdentityUpdateMessage; RetrieveProfileJob; ProfileUtil; ContactModelMapper; PushGroupSendJob; PushGroupUpdateJob; PushMediaSendJob; PushNotificationReceiveJob; PushTextSendJob; RefreshAttributesJob; AppCapabilities; RequestGroupInfoJob; RetrieveProfileAvatarJob; RotateCertificateJob; RotateProfileKeyJob; RotateSignedPreKeyJob; SendDeliveryReceiptJob; SendReadReceiptJob; ServiceOutageDetectionJob; SmsReceiveJob; SqlCipherMigrationConstraint; SmsSendJob; SmsDeliveryListener; NetworkOrCellServiceConstraint; SmsSentJob; TrimThreadJob; TypingSendJob; UpdateApkJob; GroupCandidateHelper; GroupsV2CapabilityChecker; GroupsV2ProcessingLock; GroupProtoUtil; MessageSender; OutgoingSecureMediaMessage; ProfileKeySendJob; ReactionSendJob; RemoteDeleteSendJob; GroupManagerV1; LeaveGroupJob; MarkReadReceiver; MultiDeviceMessageRequestResponseJob; RecipientForeverObserver; ConversationViewModel; MediaRepository; ConversationRepository; ConversationDataSource; ConversationAdapter; MenuState; LastSeenHeader; MediaMmsMessageRecord; PassphraseRequiredActionBarActivity; MessageDetailsActivity; ConversationItem; EmojiTextView; EmojiProvider; EmojiTree; EmojiDrawInfo; EmojiPageBitmap; EmojiParser; ConversationItemFooter; ExpirationTimerView; ReactionsConversationView; ConversationSwipeAnimationHelper; ConversationReactionOverlay; EmojiImageView; MessageRequestsBottomView; AttachmentManager; DocumentView; SignalMapView; GiphyActivity; GiphyAdapter; GiphyActivityToolbar; GiphyActivityToolbarTextSecurePreferencesPersistence; MediaSendActivity; MediaSendViewModel; MediaUploadRepository; MessageUtil; EmojiEditText; EmojiToggle; MediaPickerFolderFragment; MediaSendFragment; MediaSendFragmentPagerAdapter; ImageEditorFragment; MediaSendVideoFragment; VideoPlayer; VideoSlide; VideoEditorHud; DecryptableUriMediaInput; MediaPickerItemFragment; CameraFragment; CameraXUtil; CameraXFragment; CameraXView; CameraXModule; VideoCapture; CameraButtonView; CameraXSelfieFlashHelper; CameraXVideoCaptureHelper; Camera1Fragment; CameraContactSelectionFragment; CameraContactSelectionViewModel; CameraContactsRepository; ContactRepository; ThreadRecord; CameraContactAdapter; FromTextView; CameraContactSelectionAdapter; AudioRecorder; AudioCodec; LinkPreviewViewModel; LinkPreviewRepository; ConversationSearchViewModel; SearchRepository; ConversationStickerViewModel; StickerSearchRepository; InviteReminderModel; IdentityRecordList; DraftDatabase; AttachmentKeyboard; AttachmentKeyboardMediaAdapter; ContactShareEditActivity; ContactShareEditViewModel; SharedContactRepository; ContactsDatabase; ContactNameEditActivity; BlockUnblockDialog; ShortcutLauncherActivity; CommunicationActions; CalleeMustAcceptMessageRequestDialogFragment; CalleeMustAcceptMessageRequestViewModel; LeaveGroupDialog; GroupCreateActivity; RecipientsEditor; PushRecipientsPanel; SelectedRecipientsAdapter; PushContactSelectionActivity; ContactSelectionListFragment; RecyclerViewFastScroller; ContactSelectionListAdapter; SelectedContactSet; SelectedContact; RecyclerViewConcatenateAdapterStickyHeader; ContactSelectionListItem; ContactChip; AvatarSelectionActivity; AvatarSelectionBottomSheetDialogFragment; EditProfileActivity; EditProfileFragment; EditProfileViewModel; EditPushGroupProfileRepository; EditSelfProfileRepository; SystemProfileUtil; Megaphones; MegaphoneRecord; KbsMigrationActivity; CreateKbsPinActivity; SignalPinReminderDialog; ConversationListFragment; ReminderView; ConversationListViewModel; MegaphoneRepository; MegaphoneDatabase; ConversationListAdapter; ConversationListItemAction; ConversationListItem; MessageResult; ConversationListSearchAdapter; RatingManager; RegistrationLockV1Dialog; PinState; PinHashing; InsightsLauncher; MegaphoneViewBuilder; MegaphoneActionController; BasicMegaphoneView; ReactionsMegaphoneView; PopupMegaphoneView; UnauthorizedReminder; ExpiredBuildReminder; ServiceOutageReminder; OutdatedBuildReminder; DefaultSmsReminder; SystemSmsImportReminder; ApplicationMigrationService; PushRegistrationReminder; ShareReminder; DozeReminder; PinsForAllSchedule; ManageGroupActivity; ManageGroupFragment; ManageGroupViewModel; ManageGroupRepository; LiveGroup; GroupMemberEntry; GroupMemberListView; GroupMemberListAdapter; AdminActionsListener; RecipientClickListener; RecipientLongClickListener; ContactsCursorLoader; UsernameUtil; PendingMemberInvitesActivity; PendingMemberInvitesFragment; PendingMemberInvitesViewModel; PendingMemberRepository; InviteCancelConfirmationDialog; RecipientBottomSheetDialogFragment; RecipientDialogViewModel; RecipientDialogRepository; VerifyIdentityActivity; CameraView; ScanningThread; CustomNotificationsDialogFragment; CustomNotificationsViewModel; CustomNotificationsRepository; ReactWithAnyEmojiBottomSheetDialogFragment; ReactWithAnyEmojiViewModel; ReactWithAnyEmojiRepository; ReactWithAnyEmojiAdapter; EmojiPageViewGridAdapter; EmojiVariationSelectorPopup; EmojiPageView; StickerManagementActivity; StickerManagementAdapter; StickerManagementViewModel; StickerManagementRepository; MultiDeviceStickerPackOperationJob; StickerPackPreviewActivity; StickerPackPreviewViewModel; StickerPackPreviewRepository; StickerRolloverTouchListener; ReplyMethod; RemoteReplyReceiver; OutgoingEncryptedMessage; AndroidAutoReplyReceiver; AndroidAutoHeardReceiver; DeleteNotificationReceiver; SingleRecipientNotificationBuilder; MultipleRecipientNotificationBuilder; MessageRecordUtil; ContentValuesBuilder; LiveRecipientCache; EarlyMessageCache; SQLCipherMigrationHelper; AsymmetricMasterCipher; PublicKey; PartProvider; PreKeyMigrationHelper; SessionStoreMigrationHelper; RecipientIdMigrationHelper; RecipientDetails; LinkPreviewView; MicrophoneRecorderView; KeyboardAwareLinearLayout; OutgoingLegacyMmsConnection; MmsRadio
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,SimpleTask.BackgroundTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,SimpleTask.ForegroundTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,AssertedSuccessListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,SignalExecutors,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UNBOUNDED; BOUNDED; SERIAL; baseName; counter
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,SignalExecutors.NumberedThreadFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: baseName; counter
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,SignalExecutors.NumberedThreadFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.concurrent,ListenableFuture.Listener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.task,ProgressDialogAsyncTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.task,SnackbarAsyncTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.text,AfterTextChanged,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.views,AdaptiveActionsToolbar,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.views,SlideUpWithSnackbarBehavior,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.util.views,TouchInterceptingFrameLayout.OnInterceptTouchEventListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.blurhash,BlurHashUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.blurhash,BlurHashModelLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.blurhash,BlurHashModelLoader.BlurDataFetcher,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: blurHash
Signal-Android-4.60.5,org.thoughtcrime.securesms.blurhash,BlurHashModelLoader.BlurDataFetcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.blurhash,BlurHashModelLoader.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Signal-Android-4.60.5,org.thoughtcrime.securesms.blurhash,BlurHashModelLoader.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.blurhash,BlurHashResourceDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ContactPhotoLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ContactPhotoLoader.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: context
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ContactPhotoLoader.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,OkHttpUrlLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,OkHttpUrlLoader.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: internalClient; client
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,OkHttpUrlLoader.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ContactPhotoFetcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,PaddedHeadersInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ChunkedImageUrlLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ChunkedImageUrlLoader.Factory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: client
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ChunkedImageUrlLoader.Factory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,OkHttpStreamFetcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide,ChunkedImageUrlFetcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedCacheEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedCacheEncoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EncryptedCoder
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedGifDrawableResourceEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedGifDrawableResourceEncoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EncryptedCoder
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedBitmapResourceEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedBitmapResourceEncoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EncryptedCoder
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedBitmapCacheDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedBitmapCacheDecoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EncryptedCoder
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedGifCacheDecoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Signal-Android-4.60.5,org.thoughtcrime.securesms.glide.cache,EncryptedGifCacheDecoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EncryptedCoder
